# R, E, e1, e2, e3, r1, r2, r3
 (1.878134158724820979e-01-1.094722868137193439e-01j)  (1.899266734194575257e+00-1.899466912795359397e+00j)  (1.082953425326552699e+00+1.813288032897689486e-03j)  (3.058747480116500994e-01+1.737579158124946243e-03j)  (1.644060706591100873e-02+8.992310960114357696e-03j)  (1.509218607038040338e-01+1.324522415626304017e+00j)  (3.708693103758969878e-01+3.997822536649289216e-01j)  (2.005656018540544483e-01-1.661271546231586904e-01j)
 (-1.465752828552650266e-01-2.391791597143548553e-01j)  (2.995631801929472093e+00-1.953356143212149343e+00j)  (7.674927750969576801e-01-3.842641557593238222e-01j)  (-9.802051968000240201e-02-2.670869606699567411e-01j)  (-1.121947405002036990e-01-1.952319493248758642e-01j)  (1.062163977359426470e+00-6.878324828953723546e-01j)  (8.238524889524808659e-01+1.778491517957959955e-01j)  (4.671428027064559174e-01-8.893055694590559779e-02j)
 (-4.541755270152098567e-01+3.693669018737502086e-01j)  (5.074803920964707338e+00-3.123416643583219354e+00j)  (2.185857625077267941e-01-7.173540824868107624e-01j)  (8.720404010200085709e-01-4.236972329442183910e-02j)  (6.661150268075137770e-01+2.681123427900025114e-01j)  (-2.794112991959332160e-01-1.231591435955609326e-01j)  (-1.135050237504677595e+00+2.747204857396313149e-01j)  (-2.880257467361322932e-01+3.028500000731652597e-01j)
 (2.027047968554629431e-01+4.259577064083470976e-02j)  (8.900575821703304413e+00-1.480522804778790613e+00j)  (1.407061097989993348e+00+6.822179558156282742e-01j)  (-2.696259663778030724e+00-1.207922854305308435e+00j)  (4.362942858037952565e-01+8.266251975845693989e-02j)  (-5.819067832710377308e-01-1.011900702940395913e+00j)  (-1.432772622654927108e+00+1.094314360824306664e+00j)  (-1.479428890243366324e+00-8.043118742743300409e-01j)
 (-4.208171334342137443e-02+2.081781393030174288e-01j)  (9.359497940538538785e+00-4.067960826970540289e+00j)  (1.190366904187614150e+00+1.782360104419460578e+00j)  (-1.267203037376614105e-01-1.360266389472429838e+00j)  (-1.888158141098678966e+00-2.120085767521555642e+00j)  (1.059304731187775683e+00+6.818678805396070075e-01j)  (2.660927547666487245e-02+5.177816083025060800e-01j)  (-1.060979633439141256e+00-5.210866774032895526e-02j)
 (4.112184240625624265e-01+5.284143967223754457e-01j)  (1.561107909338548083e+01-1.719838777453929213e+00j)  (3.253813724985000766e-01-1.425127460307306637e-01j)  (-8.714531591327010496e-01-4.744271960500545671e-01j)  (1.444473506995249679e+00+1.554620813330859441e+00j)  (-3.868966712146604814e-01+1.007181020313354658e+00j)  (-1.391323373244039985e+00+1.461911475012160622e-01j)  (-2.808189379878458514e+00-2.028114334720696466e+00j)
 (-5.096584329483645759e-02+7.183991271951465363e-01j)  (1.908034467473592954e+01-1.302076441875306800e+00j)  (-9.881969627233637421e-02-4.235319417837428713e-01j)  (2.320466619183958468e+00+1.371701136587967440e+00j)  (-2.865742487838699670e+00-5.562107186124640723e-01j)  (-2.154544402590498287e+00+1.102776404319900205e+00j)  (7.114981325871152507e-01-4.901048394744045300e-01j)  (-5.915043676165974151e-01-2.961599087877119452e+00j)
 (8.355212172167157947e-01-9.865964327474366358e-02j)  (2.095970719186320963e+01-9.991512263917174952e-01j)  (6.300496964027771374e-02-2.528552856344569097e-02j)  (-5.800383562043641417e-02+7.374257155920288520e-01j)  (3.305091712422439265e+00-3.758406125348066062e+00j)  (-1.483965558136684404e+00+2.633287386196828006e+00j)  (-2.533655933452063191e+00+1.305814565825956342e+00j)  (-3.536879050239026157e+00-2.757194396903345446e+00j)
 (1.247392129649514070e+00+1.293582416334501328e+00j)  (2.422055287869990536e+01-6.338330660920625803e-01j)  (-2.716545181958738842e-01-1.680969715592707248e-01j)  (1.772769837412281335e+00+6.225579353826449225e-01j)  (-1.978199235894302355e+00-2.230465399415201500e+00j)  (5.968526302449338239e+00-3.012524723675274796e+00j)  (-6.351898990184905891e+00+2.075568427692732865e+00j)  (1.143192561662526030e+00+3.572925978345844467e+00j)
 (5.083614153141936320e+00-4.725719023899046523e-01j)  (2.422148819134242714e+01-2.100837802931171172e+00j)  (2.014482791339901047e-01+2.183035527911931784e-01j)  (1.134431060994482765e+00-3.864796740782126538e-01j)  (-2.100294422271493211e+00+3.708840191718382751e-01j)  (-2.939560445028861491e+00+2.235569141059129961e-01j)  (7.440021576863045105e-01-1.916775583085003287e+00j)  (2.168494633114783188e+00+2.649964461388889081e+00j)
