$3.24 - 2.02 i$ & $-0.12 + 2.00 i$ & $1.22 + 0.61 i$ & $-0.72 - 1.39 i$ & $0.10 - 0.00 i$ & $0.72 - 0.35 i$ & $0.72 - 0.96 i$ & $-0.19 - 0.43 i$ \\
$3.91 - 0.55 i$ & $-1.32 + 0.47 i$ & $1.33 - 0.87 i$ & $0.38 - 0.40 i$ & $0.10 - 0.02 i$ & $-1.68 + 0.11 i$ & $0.70 - 0.76 i$ & $0.58 - 0.50 i$ \\
$4.93 - 1.26 i$ & $0.98 + 1.16 i$ & $2.00 - 0.13 i$ & $0.53 + 0.19 i$ & $0.38 - 0.37 i$ & $0.05 - 0.07 i$ & $-1.54 + 0.24 i$ & $-0.27 + 0.07 i$ \\
$6.99 - 0.65 i$ & $-0.15 - 0.50 i$ & $1.88 + 1.70 i$ & $0.01 - 1.31 i$ & $1.43 - 0.10 i$ & $-0.52 + 0.46 i$ & $-0.40 - 0.61 i$ & $0.50 + 0.26 i$ \\
$8.11 - 1.06 i$ & $-0.04 + 0.15 i$ & $0.60 - 1.24 i$ & $-0.09 + 0.85 i$ & $1.13 - 0.00 i$ & $0.93 + 0.01 i$ & $-0.65 - 0.01 i$ & $-0.59 + 0.01 i$ \\
$9.17 - 1.51 i$ & $1.82 - 0.41 i$ & $-0.30 + 0.90 i$ & $-0.55 - 0.09 i$ & $0.42 - 0.00 i$ & $-1.15 + 0.02 i$ & $-0.16 - 0.05 i$ & $0.22 + 0.02 i$ \\
