# R, E, e1, e2, e3, r1, r2, r3
 (3.981801247170222574e-02-4.631581987019194047e-02j)  (2.583688859488454170e+00-2.593098591903697514e+00j)  (-9.626929148480536380e-01+5.650413756810698102e-02j)  (5.958392762206939919e-01+2.617717436604161674e-01j)  (7.252825702465254265e-01-7.579246259947558517e-02j)  (5.131711690120905889e-01+2.765981366032231881e-01j)  (-1.240854813583212590e-01-1.456428330004301941e+00j)  (3.028706181171434419e-01+9.798953509845103049e-01j)
 (1.707124141672593243e-01-5.059015885422098180e-02j)  (3.016750708986267959e+00-1.255631835779929428e+00j)  (1.770585352796519851e+00+1.342769653038652811e+00j)  (2.494344510566091966e+00-1.369224305617556592e+00j)  (-1.162219739097927418e+00-6.142200462063510669e-01j)  (-4.415496766810666607e+00-3.695257638660286670e+00j)  (8.575571922367450028e+00+1.989822919378804400e+01j)  (-3.732808106953999339e+00-2.034282817988627201e+01j)
 (-1.791347399771841264e-01-5.626284483872627806e-01j)  (5.517601058245609202e+00-2.529947191395764960e+00j)  (2.517578694820117244e-02-1.386197316268743318e+00j)  (7.486964316455162471e-01+1.099787210611607113e+00j)  (-9.860793921264000839e-02-1.814721248888057081e-01j)  (-4.535873971375471214e+00-8.726191975042790760e-01j)  (1.025860802234518232e+01+3.420517867187822691e+00j)  (-5.108612929437583716e+00-7.842371806662685962e+00j)
 (2.003340989375927347e-02+4.808497791930076148e-02j)  (8.151094266807369593e+00-1.562656935282642268e+00j)  (-1.677649354690645134e-01+1.539961901370759501e+00j)  (4.709113656512704971e+00-4.346117140715364258e+00j)  (-6.413213446251937455e+00+3.151669500577196636e+00j)  (2.262018964827497425e-01+8.923792086462480899e-01j)  (1.425032430323483901e+01-3.203923097797181097e+00j)  (-1.368609394232939458e+01-1.430526114454707454e+00j)
 (4.009235793713185059e-01-1.066350183056663098e-01j)  (1.020914307151953082e+01-1.888433967769652888e+00j)  (-3.990637761927670057e-01-9.450218432074120045e-02j)  (2.594667876153491370e+00-5.777571302392957575e-01j)  (1.766738031004774445e+00-4.202200658251013188e+00j)  (5.524118699669976706e+00-3.885439046761967052e+00j)  (-2.734549359325004048e+01-5.008391364131401069e+00j)  (3.710429710835231987e+01+4.060217231057082543e+00j)
 (1.552150252050233104e-01+2.354366466513562184e-01j)  (1.791188633649147732e+01-3.135907794529856574e+00j)  (-4.436627069651860600e-02-2.926849754881747923e-01j)  (-1.942173435547129401e+00+1.073348718983421879e+00j)  (1.592765515134708876e+00-1.016521029125807107e+00j)  (3.198326881595106919e+00+3.543842223423988802e+00j)  (-1.853217167008023836e+01-2.046045070137228450e+01j)  (1.351329481940031485e+01+2.383094661311217521e+01j)
 (9.036311055486089261e-01+7.743682453328597504e-01j)  (1.978173021263811648e+01-2.339628700110623516e+00j)  (1.085809668162931868e-01-7.619547141026901393e-02j)  (-9.382082631494249592e-01+6.562598292733187177e-01j)  (1.925842752332761254e+00-1.123864066359591796e+00j)  (5.179070043216768227e+00-1.769755302039045741e+00j)  (-1.628565074874163088e+01-1.812850277156568657e+00j)  (7.043241900258229826e+00+8.839720738928248167e+00j)
 (1.065353796770831085e+00+1.623335531362360751e+00j)  (2.194487061543951611e+01-3.110157832961029101e+00j)  (1.237517026857066632e-01-3.075068541854676374e-01j)  (1.748119230454028061e+00+2.120838912923619368e+00j)  (-2.583381925387955302e+00-2.576804124249262529e+00j)  (-2.398369286891514740e+00+4.392443928787145846e-01j)  (-2.668237986557537411e+00+8.317637437088371000e-01j)  (7.235872250048720922e+00-1.163938440525426721e+00j)
 (1.925721166797522699e+00-4.252291992851293112e-01j)  (2.580299668863122875e+01-2.641366868678777013e+00j)  (-3.498963393876625225e-03+1.796648608092816374e-02j)  (1.003925142983795205e+00+5.489459711456083912e-01j)  (-1.493628204090024170e+00-1.444770339850525387e+00j)  (-3.539373717125224861e-01+1.201920871909374133e+00j)  (-5.690431988062514712e+00+2.080243671589694365e+00j)  (7.013257327391066553e+00-1.675900432579474408e+00j)
 (-1.011942145062932757e-01+5.657189789854314421e-01j)  (2.830587514967164253e+01-1.052854971215963165e+00j)  (-7.691438048157543672e-02+6.698077844731009645e-02j)  (-6.461257116682934953e-02-5.018218169736269330e-01j)  (2.497105935705403457e-01+3.607214164281050128e-01j)  (-2.678978165659490429e+00-4.246284401902979511e+00j)  (-2.582236816303250526e-01+1.540159332039757700e+01j)  (-2.988375446859628415e+00-2.020946703220259266e+01j)
