$10.02 - 9.81 i$ & $-0.67 - 0.21 i$ & $-0.12 + 0.58 i$ & $0.42 - 0.01 i$ & $-0.28 - 0.34 i$ & $-2.93 + 9.59 i$ & $1.33 + 1.70 i$ & $0.50 + 0.18 i$ \\
$10.17 - 0.77 i$ & $0.49 + 0.55 i$ & $-0.77 - 0.89 i$ & $1.36 + 0.37 i$ & $-0.71 + 0.36 i$ & $-8.25 + 0.41 i$ & $1.29 - 2.61 i$ & $-1.71 + 0.12 i$ \\
$10.32 - 0.38 i$ & $0.07 + 0.06 i$ & $0.42 - 0.10 i$ & $0.43 + 0.08 i$ & $5.56 - 0.40 i$ & $-1.12 + 0.34 i$ & $-0.72 + 0.02 i$ & $-0.05 - 0.22 i$ \\
$11.11 - 7.95 i$ & $-2.86 + 0.80 i$ & $3.38 - 0.27 i$ & $-0.53 + 0.67 i$ & $0.24 - 0.12 i$ & $-8.59 + 0.50 i$ & $-1.28 + 1.68 i$ & $-0.60 + 1.99 i$ \\
