# R, E, e1, e2, e3, r1, r2, r3
 (6.860867294058604904e-02-4.428733862084762579e-02j)  (2.879078230418395723e+00-2.035148824603971729e-01j)  (8.906287561678571940e-01+2.336076313892599121e-01j)  (1.257652648812899399e+00-3.031715710303797273e+00j)  (1.297542420286781351e+00-6.082327893335570668e-01j)  (-9.332794851974199446e+00-3.117350127933027792e+00j)  (2.139070576272943924e+01+1.209853812580499799e+01j)  (-1.978399404097193681e+01-1.376182959902711644e+01j)
 (-7.225398606128993761e-02-3.323100141478844693e-01j)  (3.113804237725798618e+00-3.105475605279779838e+00j)  (4.944255007687093362e-01-1.295949323524482610e-02j)  (1.869341147993010543e-01+3.625900836468485405e-02j)  (3.911444951833564082e-02-3.459539722789916477e-02j)  (-8.430872482704802051e-01+3.084086134253047895e+00j)  (5.683665280379578633e+00-8.067057125557496988e+00j)  (-6.120524570580472279e+00+9.830498863501121676e+00j)
 (1.118210263599720561e-01-1.275064658558055890e-02j)  (5.184430373882429777e+00-2.940685753624416421e+00j)  (7.443308606615454126e-01+2.600566030875027135e+00j)  (3.741837807891571277e+00-1.307381335630121377e+00j)  (1.266255716282150612e+00-3.257000549456879668e+00j)  (1.485709819210103433e+01-1.329263677096935936e+01j)  (-7.311218586166951638e+01+3.525623587692798822e+01j)  (8.318519038548419076e+01-3.328461197860033849e+01j)
 (1.993694182690363137e-01-2.530759433527652313e-01j)  (6.364054115891532248e+00-1.136460043837561829e+00j)  (1.880713319679562512e-01+8.241784197208648979e-03j)  (2.192121508155475129e-01-3.189517115824635346e-02j)  (-1.123529272494959264e+00-3.896641514449895594e-01j)  (-5.074566274049490566e+00-3.156432176678660273e+00j)  (7.883930937170464226e+00+1.113183864139077883e+01j)  (-2.408226219257624479e+00-1.247246541028154887e+01j)
 (-9.767340550869864357e-02+2.393795065175007841e-01j)  (1.185346605922949337e+01-1.063573809074278786e+00j)  (-4.477441349502668255e-01-1.347255026795823651e+00j)  (3.258980261107620624e+00+2.197853366018244436e+00j)  (-2.028486996496161043e-01+1.431949085325004756e+00j)  (2.634181261434327403e+00-9.027168679637767923e+00j)  (-1.790456045548303621e+01+1.194716804694521350e+01j)  (1.923608822562258780e+01+1.260497939372484133e+01j)
 (6.297867143746630481e-01+7.444711773876943051e-01j)  (1.541121908094697268e+01-3.036109148939354796e+00j)  (2.257618839396668131e-01+5.829721186537660804e-01j)  (1.046532399392171575e+00-1.482765372024077433e+00j)  (-2.455141072272136515e+00+1.607744725257284513e+00j)  (-7.916563710233571527e+00+1.358825314545012708e-01j)  (3.228068107195912972e+01-5.420449101304941841e+00j)  (-4.139892716806590300e+01+1.286649778170717617e+01j)
 (7.746241399794527860e-01+1.122569426189031327e+00j)  (1.871880895562750524e+01-2.105590148028273489e+00j)  (-6.666528659073131524e-02-1.534834636971452448e-01j)  (6.545970577606786689e-01+1.316854036332942401e+00j)  (-1.307853463264148530e+00-1.912029694205197305e+00j)  (-8.965928483991261189e-01+6.160383118686749704e-01j)  (-9.401211338736324308e+00-5.722357006785191436e-01j)  (1.847491753455743435e+01-6.808232141698545625e+00j)
 (5.465401678587243905e-01-2.140944441815293975e-01j)  (2.133384388964722689e+01-1.465005494481708581e+00j)  (-3.181903734117552118e-01+4.823921277606176283e-01j)  (2.413510855455700987e+00-2.659155382177436078e+00j)  (-3.132205043690428958e+00+3.737322655784839576e+00j)  (-1.005998118084390924e+01-1.347018063604090710e-01j)  (3.747018662448716952e+01-5.782365290165352584e-02j)  (-4.185221458100404845e+01+3.294102843986140283e-01j)
 (8.692237531442138510e-01+5.588860398207289304e-01j)  (2.423859435739130674e+01-1.075137937022231149e+00j)  (1.562448334808469175e-01-5.447089537803462278e-02j)  (-6.325184522973468226e-01+2.631649504580773069e-01j)  (9.304330821356520120e-01-4.137716209448174531e-01j)  (-3.742729893766004734e-01+6.581943621429474867e+00j)  (-7.882285257459849426e+00-2.337800011788933574e+01j)  (9.263815822261729949e+00+2.306437813676694759e+01j)
 (1.296956681301619119e+00+1.018505422791933235e+00j)  (2.709861903452389242e+01-2.561750363301285027e+00j)  (-1.341270898308059289e-01+1.467014664836261556e-02j)  (6.203793498703216169e-01+3.966106280958396346e-01j)  (-7.490778212662876356e-01-6.669692595783918154e-01j)  (1.876214853739844646e+00+2.391364122293245575e+00j)  (-1.828696269983539224e+01-6.450047291093227386e+00j)  (2.352656736847760754e+01+4.099387664893471062e+00j)
 (2.461431845779291638e+00-1.678903130000160671e+00j)  (2.987237288396962853e+01-4.138607339690757669e+00j)  (1.020653838507671295e-02-4.091166659522391807e-02j)  (-2.803896186730746587e-01-1.192259732322875770e-01j)  (4.720011243316442617e-01+4.626995423266791474e-01j)  (3.388881537032351954e+00+4.232638552191779091e+00j)  (-1.955605420693581920e+01-9.329209546100665662e+00j)  (1.986479288538166443e+01+3.966126927521310463e+00j)
 (8.819104551100882816e-02+1.362890533371584056e-01j)  (3.288830356940900401e+01-5.219590924740987736e-01j)  (1.451797038292725883e-01-4.289038201484731139e-01j)  (3.329860857924262785e-01+1.253105741108292648e+00j)  (-1.586342028792718795e-01-8.353415579987387707e-01j)  (5.285931127405392616e+00+4.504510421299485756e+00j)  (-2.508483954681252470e+01-4.591309378301168032e+00j)  (2.067529360376776282e+01-8.043373279623505567e+00j)
 (5.207638408213589365e+00+8.937232976185641165e-02j)  (3.837526583920869427e+01-5.920730787808277107e+00j)  (-1.604815911832102593e-02+3.518142003938405649e-02j)  (2.241166534111439512e-01-2.326008952179788591e-01j)  (8.542744480428640097e-01+2.523157620549666968e-01j)  (1.903932656307900873e+00+3.105600083419990387e+00j)  (-1.438159219758242990e+01+7.790596799904855096e+00j)  (7.346495646966942239e+00-1.980822162389128493e+01j)
 (-3.568369183330954986e-01-3.491577849257707200e+00j)  (4.287883035600940929e+01-4.617265534359476398e+00j)  (-9.885631393655028298e-02-6.496845342903264653e-01j)  (-1.711286037184110709e-02+1.867049205868706929e+00j)  (1.496949784664095118e+00-2.381805222441065961e+00j)  (1.009350655637135397e+01-1.000900867468030642e+00j)  (-1.091525052361971149e+01+2.542053712565216017e+01j)  (-1.242928042363002206e+01-1.613659369689093381e+01j)
