$2.89 - 2.97 i$ & $-1.89 + 0.32 i$ & $2.00 + 2.00 i$ & $-0.12 - 1.39 i$ & $0.10 - 0.00 i$ & $1.65 + 0.41 i$ & $2.00 - 2.00 i$ & $2.00 - 2.00 i$ \\
$5.78 - 0.15 i$ & $0.17 - 0.07 i$ & $0.18 + 0.26 i$ & $1.22 - 0.23 i$ & $2.73 - 0.04 i$ & $0.27 - 0.07 i$ & $-2.00 + 0.31 i$ & $0.06 - 0.25 i$ \\
