# R, E, e1, e2, e3, r1, r2, r3
 (-4.803236836910074192e-01-1.629187405065223027e-01j)  (3.340330302977654320e+00-3.346910433722011025e+00j)  (-2.428127520816966423e-01+4.225339176147659831e-02j)  (1.732657223122743062e+00-2.655286722039184033e-01j)  (-1.552762950399490416e+00+4.557186387390976812e-01j)  (-3.891625702952903776e+00-1.100079246718804887e-01j)  (1.064226860911707817e+01+9.018972642203657131e+00j)  (-5.145351280063770183e+00-1.457058852583824304e+01j)
 (2.610636997272388626e-01+2.412276561866090741e-01j)  (7.039355578786782530e+00-3.326633519974863340e+00j)  (5.464208850980438736e-01+1.445389310620506462e+00j)  (-8.907564463229178386e-01+1.251959642604698608e-01j)  (2.127616790342157227e+00-4.658478008315069196e+00j)  (2.342773011862719912e+00-1.001283244282610418e+01j)  (-1.827629365111213744e+01+2.959504501578682678e+01j)  (2.193781544031797637e+01-1.887223942120211717e+01j)
 (2.638638404724039654e-01-1.189962818272187889e-01j)  (7.311092452648693119e+00-6.379434685805218663e-01j)  (1.477540689719124001e-01-3.336926423484874449e-01j)  (9.243097840285163791e-01+1.873127672898604601e+00j)  (-4.306048556168689423e+00-2.850479133164262713e+00j)  (-4.607447176419355195e+00+9.584251938088644840e-01j)  (2.498831976002132027e+00-4.857886261342702738e+00j)  (5.922508584131936260e+00+7.248728973768740147e+00j)
 (4.672734023038600526e-01+2.302312256746946451e-01j)  (1.112912871207081622e+01-3.520509990174057968e+00j)  (-3.230407067251394038e-01+1.270176976098690957e+00j)  (1.679965575160689006e+00-4.688358267298959325e-01j)  (-2.177398665552237933e+00-3.135437521837877828e+00j)  (-7.820524452828182760e+00-2.172206776830404085e+00j)  (1.602893715151455822e+01+9.847359797325943020e+00j)  (-8.217279971689441354e+00-9.400893478748011844e+00j)
 (7.637099535372421366e-01+5.174656492442663014e-01j)  (1.758401918689680343e+01-3.146155830589232316e+00j)  (-3.256395479382537261e-01+3.701008249561406616e-01j)  (1.834413261637124481e+00-6.132134237550024292e-01j)  (-1.944719018938596777e+00+6.172369307985756670e-01j)  (-3.193578526125136818e+00+1.619163294997390867e+00j)  (3.089176071802009815e+00-4.785913100138123433e+00j)  (-5.467759610744129972e+00+2.297549545138430904e+00j)
 (-5.160193613363953657e-01+2.762959512037815313e-01j)  (1.994284523544330057e+01-2.008688342645747582e+00j)  (1.926850244655954059e-01+1.637860964169509520e-02j)  (-9.692659236319296767e-02+7.436986145638262435e-01j)  (-9.097025519147220463e-01-1.401884709219172853e+00j)  (-6.108582644152025232e-01+2.146844810985675256e+00j)  (-7.902124488894748389e-01-2.715034514403724941e+01j)  (1.258587082765283638e+00+3.844364838027847497e+01j)
 (6.102509531817759125e-01+4.516569914932658247e-01j)  (2.246812138899957745e+01-2.300175893121751525e+00j)  (-4.978161760087644883e-01-7.550934505050768686e-02j)  (2.167492415085324087e+00+7.310985710921474867e-01j)  (-3.431107744889274613e+00-1.169589170544915513e+00j)  (4.435126731084604756e+00-5.290826809143321263e+00j)  (-3.164416352932776988e+01+1.547098193960740176e+01j)  (4.564228110602195443e+01-1.669661727135792262e+01j)
 (2.367528681522377554e-01+6.414672762522448668e-01j)  (2.563819089761097914e+01-1.277042830356850622e+00j)  (5.720203682869977324e-02-1.777907753785821013e-02j)  (1.647610948473631279e-02+1.517285257825864431e-01j)  (-1.232966334639689146e-02-7.215393080874517029e-01j)  (3.699616293029630132e+00-7.182117910533721172e+00j)  (-1.275886764821164832e+01+4.258059639783483163e+01j)  (1.198204492396204834e+01-4.914493529938938110e+01j)
 (2.316334772273482390e+00+3.846269508273577831e+00j)  (2.791505594588439365e+01-2.563058181073690545e+00j)  (2.033953723230934145e-03+1.195021099377097246e-01j)  (-2.281711883845217170e-01-2.240049625944201539e-01j)  (1.130195451015906905e+00-5.066328893991988158e-01j)  (-6.516575233781588317e+00-1.190673141945965741e+00j)  (2.049591957832700473e+01+2.333680078767320920e-01j)  (-1.660007242660320514e+01+2.605339461922858479e+00j)
 (5.839128812560550941e+00-1.017935607808556853e+00j)  (3.028096290524286616e+01-2.517317227765010212e+00j)  (3.719952345724150122e-01-3.306099057610716041e-02j)  (-1.404468928925195037e+00-6.958848296827453705e-02j)  (1.918153029308580892e+00+4.054484087785207302e-01j)  (-4.915850735556379192e+00+2.213421090264716451e+00j)  (1.213621224457524761e+01-1.232554461715144534e+01j)  (-1.142100164238105364e+01+1.591733344486395296e+01j)
