$2.86 - 2.87 i$ & $-0.42 + 0.09 i$ & $-0.07 - 0.03 i$ & $0.06 - 0.06 i$ & $0.02 - 0.10 i$ & $1.68 - 2.64 i$ & $0.88 + 0.58 i$ & $0.28 + 1.37 i$ \\
$5.89 - 0.39 i$ & $0.25 - 0.89 i$ & $0.76 + 1.02 i$ & $0.15 - 0.22 i$ & $0.10 - 0.01 i$ & $-2.61 - 7.46 i$ & $-1.49 + 6.02 i$ & $1.59 - 1.19 i$ \\
$8.77 - 0.12 i$ & $0.06 - 0.62 i$ & $-0.76 + 0.89 i$ & $0.65 - 0.38 i$ & $0.22 - 0.06 i$ & $-1.32 + 0.14 i$ & $4.30 + 4.49 i$ & $-2.08 - 4.00 i$ \\
$13.68 - 1.11 i$ & $0.12 + 0.26 i$ & $0.44 - 0.50 i$ & $-0.22 + 0.09 i$ & $0.08 + 0.35 i$ & $4.56 - 1.87 i$ & $-9.18 + 11.98 i$ & $6.65 - 8.84 i$ \\
$14.64 - 1.11 i$ & $0.57 + 0.02 i$ & $-1.08 + 0.55 i$ & $0.63 - 0.70 i$ & $0.68 - 0.01 i$ & $-3.55 + 0.81 i$ & $3.98 - 2.74 i$ & $-2.74 + 0.83 i$ \\
$17.29 - 2.01 i$ & $-0.06 + 0.03 i$ & $0.20 + 0.02 i$ & $-0.05 - 0.01 i$ & $3.95 - 1.78 i$ & $-1.21 + 0.45 i$ & $-1.50 + 0.85 i$ & $1.24 - 0.85 i$ \\
$19.52 - 4.10 i$ & $0.27 + 1.18 i$ & $-0.45 - 1.28 i$ & $0.33 + 0.41 i$ & $0.96 + 0.60 i$ & $1.17 + 1.63 i$ & $-4.13 - 7.01 i$ & $1.46 + 5.57 i$ \\
$23.03 - 3.74 i$ & $0.08 - 0.17 i$ & $-0.17 + 0.58 i$ & $-0.01 - 0.24 i$ & $-1.32 + 2.22 i$ & $-0.63 - 1.78 i$ & $-2.19 + 0.22 i$ & $0.74 + 0.89 i$ \\
$26.19 - 3.33 i$ & $-0.15 - 0.28 i$ & $-0.11 + 0.52 i$ & $0.21 - 0.24 i$ & $1.52 + 0.30 i$ & $2.45 - 2.21 i$ & $-3.52 + 2.19 i$ & $1.40 - 0.39 i$ \\
$31.50 - 5.00 i$ & $-0.08 - 0.05 i$ & $0.14 - 0.16 i$ & $0.11 - 0.02 i$ & $2.56 - 0.25 i$ & $0.84 - 1.31 i$ & $-0.21 + 5.23 i$ & $-1.25 - 0.94 i$ \\
